,Title,Link,Location,Latitude,Longitude,NumReviews,PriceRange,Tags,Categories,Address
1049,JB Ah Meng,/jb-ahmeng,Geylang,1.3137432,103.886128,242,~$25/pax,['Featured In 6 Guides'],"['Burpple Guides', ' Zi Char', ' Seafood', ' Supper', ' Good For Groups']",534 Geylang Road Lorong 30 Singapore 389490
1050,Xing Fu Tang (Compass One),/xing-fu-tang-compass-one,Orchard,1.3920112,103.8950057,2,~$5/pax,[],"['Desserts', ' Bubble Tea']",1 Sengkang Square #B1-10 Compass One Singapore 545078
1051,Yu Cun Claypot Curry Fish Head,/MVCAWEPO,Macpherson,1.3392329,103.885903,14,~$20/pax,[],"['Zi Char', ' Seafood', ' Good For Groups']",147 Upper Paya Lebar Road Singapore 534849
1052,Hong Ji Claypot Bak Kut Teh (Ang Mo Kio),/hong-ji-bak-kut-teh,Ang Mo Kio,1.3714491,103.8375941,22,~$5/pax,[],"['Bak Kut Teh', ' Cheap & Good', ' Hawker Food']",107 Ang Mo Kio Avenue 4 #01-38 First Coffeeshop Pte Ltd Stall 9 Singapore 560107
1053,Privé Grill (The University Club),/prive-at-shaw-foundation-alumni-house-nus,Kent Ridge,1.2931799,103.7736498,3,~$40/pax,[],"['Bars', ' French', ' Dinner with Drinks', ' Date Night']",11 Kent Ridge Drive #04-02 Shaw Foundation Alumni House Singapore 119244
1054,Penang Delights (S-11 Ang Mo Kio Avenue 8),/penang-prawn-mee,Ang Mo Kio,1.3715158,103.8479434,4,~$5/pax,[],"['Kopitiam', ' Hawker Food']",711 Ang Mo Kio Avenue 8 #01-08 S-11 Food Centre Singapore 560711
1055,Victor Famous Fried Chicken Wing Rice (Veerasamy Road),/victor-famous-fried-chicken-wing-rice-veerasamy-road,Little India,1.307079,103.855141,19,~$5/pax,['Featured In 1 Guide'],"['Chicken Rice', ' Cheap & Good', ' Hawker Food']",638 Veerasamy Road #01-101 Yi He Eating House Singapore 200638
1056,The 1872 Clipper Tea Co.,/the-1872-clipper-tea-co,Orchard,1.3044332,103.8316908,163,~$10/pax,"['Hot 100 2019', 'Featured In 1 Guide']","['High Tea', ' Desserts']",2 Orchard Turn #B4-07 ION Orchard Singapore 238801
1057,Okada Coffee & Sweets,/okada-coffee-sweets,Joo Chiat,1.312822,103.8999709,6,~$15/pax,[],"['Desserts', ' Japanese', ' Cafes & Coffee', ' Cakes']",153 Joo Chiat Road Singapore 427431
1058,Food Opera (ION Orchard),/food-opera-ion-orchard,Orchard,1.3041985,103.8314326,147,~$10/pax,[],"['Kopitiam', ' Hawker Food']",2 Orchard Turn #B4-03/04 ION Orchard Singapore 238801
1059,Tamago-EN,/tamago-en,Serangoon,1.3506853,103.8719911,18,~$10/pax,['Featured In 1 Guide'],['Japanese'],23 Serangoon Central #02-K5/K6 nex Singapore 556083
1060,Tong Luo Wan Charcoal Roast,/tong-luo-wan,Potong Pasir,1.3340619,103.8666004,2,~$5/pax,[],['Hawker Food'],136 Potong Pasir Avenue 3 #01-168 Jin Biao Coffeeshop Singapore 350136
1061,GoroGoro Steamboat & Korean Buffet (The Centrepoint),/gorogoro-steamboat-korean-buffet,Somerset,1.3024213,103.839922,49,~$25/pax,['Featured In 1 Guide'],"['Buffets', ' Korean', ' Steamboat']",176 Orchard Road #03-43 The Centrepoint Singapore 238843
1062,Shirakaba Sansou,/shirakaba-sansou,Somerset,1.3007405,103.8396503,8,~$15/pax,[],"['Ramen', ' Japanese']",181 Orchard Road #B2-11/29/44/48 Orchard Central Hokkaido Marche Singapore 238896
1063,15 Stamford by Alvin Leung,/15-stamford,City Hall,1.2935522,103.8515954,41,~$60/pax,[],"['Steak', ' Local Delights', ' Seafood', ' Date Night']",15 Stamford Road Lobby Level The Capitol Kempinski Hotel Singapore Singapore 178906
1064,Hainan Fried Hokkien Prawn Mee (Golden Mile Food Centre),/2RflyYEv,Beach Road,1.3028979,103.863909,35,~$5/pax,[],"['Cheap & Good', ' Hawker Food']",505 Beach Road #B1-34 Golden Mile Food Centre Singapore 199583
